start_time,end_time,value
2021-10-17 06:49:08 +0300,2021-10-17 09:00:20 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-17 23:39:23 +0300,2021-10-18 05:00:07 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-18 22:30:00 +0300,2021-10-19 05:00:16 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-19 22:30:00 +0300,2021-10-20 05:30:25 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-20 22:30:00 +0300,2021-10-21 05:00:13 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-21 22:58:59 +0300,2021-10-22 06:00:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-23 00:13:37 +0300,2021-10-23 07:30:11 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-23 23:10:59 +0300,2021-10-24 07:00:14 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-24 22:30:00 +0300,2021-10-25 05:15:07 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-25 22:55:03 +0300,2021-10-26 05:45:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-27 00:11:55 +0300,2021-10-27 07:00:17 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-28 00:08:05 +0300,2021-10-28 07:51:53 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-28 07:53:43 +0300,2021-10-28 07:55:05 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-29 01:02:13 +0300,2021-10-29 08:13:45 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-29 08:13:46 +0300,2021-10-29 08:55:18 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-29 22:55:41 +0300,2021-10-30 05:00:13 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-31 00:52:44 +0300,2021-10-31 08:30:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-10-31 23:33:22 +0300,2021-11-01 06:00:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-01 23:05:02 +0300,2021-11-02 05:30:08 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-02 23:58:52 +0300,2021-11-03 06:00:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-03 23:46:13 +0300,2021-11-04 05:00:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-04 23:46:55 +0300,2021-11-05 05:00:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-05 23:18:33 +0300,2021-11-06 05:30:16 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-07 01:39:41 +0300,2021-11-07 05:00:11 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-07 23:30:54 +0300,2021-11-08 05:30:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-08 23:52:24 +0300,2021-11-09 06:00:00 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-09 22:30:00 +0300,2021-11-10 04:30:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-10 23:56:35 +0300,2021-11-11 05:00:08 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-11 23:17:37 +0300,2021-11-12 05:30:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-13 00:19:29 +0300,2021-11-13 07:00:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-14 00:24:14 +0300,2021-11-14 08:30:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-15 00:20:20 +0300,2021-11-15 08:00:11 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-16 01:40:07 +0300,2021-11-16 09:00:19 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-17 00:12:26 +0300,2021-11-17 06:30:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-17 22:44:58 +0300,2021-11-18 05:00:08 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-18 23:51:11 +0300,2021-11-19 05:30:20 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-20 02:00:00 +0300,2021-11-20 08:30:08 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-21 02:30:00 +0300,2021-11-21 08:00:26 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-21 22:30:00 +0300,2021-11-22 04:30:17 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-22 22:30:00 +0300,2021-11-23 04:30:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-23 23:03:53 +0300,2021-11-24 05:00:14 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-25 00:12:34 +0300,2021-11-25 05:00:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-25 23:07:02 +0300,2021-11-26 04:30:18 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-27 00:11:59 +0300,2021-11-27 07:30:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-28 00:00:30 +0300,2021-11-28 07:00:17 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-28 22:30:00 +0300,2021-11-29 04:35:14 +0300,HKCategoryValueSleepAnalysisInBed
2021-11-30 01:03:09 +0300,2021-11-30 08:00:22 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-01 01:36:34 +0300,2021-12-01 07:14:23 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-02 00:26:28 +0300,2021-12-02 06:00:17 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-02 23:55:00 +0300,2021-12-03 06:00:11 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-04 00:29:34 +0300,2021-12-04 08:00:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-05 02:01:51 +0300,2021-12-05 09:45:07 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-05 22:45:04 +0300,2021-12-06 05:00:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-07 00:01:18 +0300,2021-12-07 06:00:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-07 22:30:00 +0300,2021-12-08 05:00:20 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-08 23:59:19 +0300,2021-12-09 06:30:07 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-09 22:52:36 +0300,2021-12-10 05:00:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-10 23:48:55 +0300,2021-12-11 07:00:08 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-11 23:56:04 +0300,2021-12-12 07:00:12 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-13 01:34:04 +0300,2021-12-13 06:00:14 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-13 22:30:00 +0300,2021-12-14 04:45:25 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-14 23:08:26 +0300,2021-12-15 05:30:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-15 23:53:44 +0300,2021-12-16 05:00:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-17 03:20:43 +0300,2021-12-17 07:15:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-17 23:29:32 +0300,2021-12-18 07:00:08 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-19 00:00:00 +0300,2021-12-19 07:30:21 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-20 00:58:26 +0300,2021-12-20 08:00:13 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-21 00:37:47 +0300,2021-12-21 07:45:11 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-22 00:36:15 +0300,2021-12-22 08:30:22 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-23 01:23:38 +0300,2021-12-23 09:00:15 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-24 01:00:00 +0300,2021-12-24 06:30:19 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-24 23:11:05 +0300,2021-12-25 05:01:31 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-25 05:02:09 +0300,2021-12-25 07:30:07 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-26 01:40:29 +0300,2021-12-26 09:00:10 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-27 02:32:33 +0300,2021-12-27 09:00:19 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-28 02:47:49 +0300,2021-12-28 09:30:26 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-29 00:44:36 +0300,2021-12-29 07:30:10 +0300,HKCategoryValueSleepAnalysisInBed
